 周   周秒      伪距		    	L1载波
1592	5045	21405026.26 	112484184.50 
1592	5046	21404695.90 	112482447.70 
1592	5047	21404365.45 	112480711.50 
1592	5048	21404035.25 	112478975.90 
1592	5049	21403705.12 	112477240.80 
1592	5050	21403375.05 	112475506.10 
1592	5051	21403044.82 	112473772.20 
1592	5052	21402715.25 	112472038.90 
1592	5053	21402385.65 	112470306.40 
1592	5054	21402055.76 	112468574.50 
1592	5055	21401726.39 	112466843.10 
1592	5056	21401397.38 	112465112.20 
1592	5057	21401067.29 	112463381.60 
1592	5058	21400738.49 	112461651.80 
1592	5059	21400409.20 	112459922.70 
1592	5060	21400080.41 	112458194.00 
1592	5061	21399751.60 	112456465.80 
1592	5062	21399422.80 	112454738.20 
1592	5063	21399094.32 	112453011.50 
1592	5064	21398766.10 	112451285.30 
1592	5065	21398437.09 	112449559.40 
1592	5066	21398108.88 	112447834.10 
1592	5067	21397781.06 	112446109.50 
1592	5068	21397452.84 	112444385.80 
1592	5069	21397124.89 	112442662.50 
1592	5070	21396797.18 	112440939.90 
1592	5071	21396469.41 	112439217.90 
1592	5072	21396141.84 	112437496.40 
1592	5073	21395814.67 	112435775.00 
1592	5074	21395487.37 	112434054.40 
1592	5075	21395159.54 	112432334.40 
1592	5076	21394832.15 	112430614.90 
1592	5077	21394505.53 	112428896.20 
1592	5078	21394178.30 	112427177.90 
1592	5079	21393851.80 	112425460.10 
1592	5080	21393525.08 	112423743.30 
1592	5081	21393198.05 	112422027.20 
1592	5082	21392871.58 	112420311.40 
1592	5083	21392545.05 	112418596.30 
1592	5084	21392218.94 	112416881.50 
1592	5085	21391893.03 	112415167.50 
1592	5086	21391566.66 	112413454.40 
1592	5087	21391240.95 	112411741.70 
1592	5088	21390915.13 	112410029.10 
1592	5089	21390589.34 	112408317.40 
1592	5090	21390263.82 	112406607.00 
1592	5091	21389938.13 	112404896.20 
1592	5092	21389612.84 	112403186.10 
1592	5093	21389287.52 	112401476.40 
1592	5094	21388962.81 	112399768.00 
1592	5095	21388637.00 	112398060.10 
1592	5096	21388312.45 	112396353.10 
1592	5097	21387987.62 	112394645.80 
1592	5098	21387663.06 	112392939.40 
1592	5099	21387338.29 	112391233.00 
1592	5100	21387013.60 	112389527.70 
1592	5101	21386689.65 	112387822.80 
1592	5102	21386365.15 	112386119.20 
1592	5103	21386040.98 	112384415.80 
1592	5104	21385716.76 	112382713.20 
1592	5105	21385392.90 	112381011.10 
1592	5106	21385069.34 	112379309.60 
1592	5107	21384745.91 	112377608.50 
1592	5108	21384422.63 	112375908.30 
1592	5109	21384098.59 	112374209.00 
1592	5110	21383775.59 	112372510.00 
1592	5111	21383452.18 	112370811.50 
1592	5112	21383129.03 	112369113.40 
1592	5113	21382806.05 	112367416.00 
1592	5114	21382483.35 	112365719.50 
1592	5115	21382160.53 	112364023.50 
1592	5116	21381837.77 	112362328.10 
1592	5117	21381515.56 	112360633.40 
1592	5118	21381192.93 	112358939.30 
1592	5119	21380870.77 	112357245.80 
1592	5120	21380548.66 	112355552.60 
1592	5121	21380226.35 	112353859.90 
1592	5122	21379904.56 	112352168.00 
1592	5123	21379582.24 	112350476.50 
1592	5124	21379260.81 	112348785.60 
1592	5125	21378938.80 	112347095.20 
1592	5126	21378617.58 	112345405.50 
1592	5127	21378295.90 	112343716.30 
1592	5128	21377974.74 	112342028.00 
1592	5129	21377653.41 	112340340.10 
1592	5130	21377332.66 	112338652.40 
1592	5131	21377011.15 	112336965.50 
1592	5132	21376690.64 	112335279.50 
1592	5133	21376370.09 	112333593.50 
1592	5134	21376048.77 	112331908.20 
1592	5135	21375728.73 	112330223.70 
1592	5136	21375407.80 	112328539.90 
1592	5137	21375087.66 	112326856.70 
1592	5138	21374767.52 	112325173.90 
1592	5139	21374447.13 	112323491.40 
1592	5140	21374126.56 	112321809.90 
1592	5141	21373807.45 	112320128.70 
1592	5142	21373487.46 	112318448.10 
1592	5143	21373167.77 	112316767.80 
1592	5144	21372848.55 	112315088.30 
1592	5145	21372528.42 	112313409.20 
1592	5146	21372209.18 	112311730.40 
1592	5147	21371889.80 	112310052.70 
1592	5148	21371570.57 	112308375.30 
1592	5149	21371251.70 	112306698.70 
1592	5150	21370933.29 	112305022.80 
1592	5151	21370613.76 	112303347.60 
1592	5152	21370295.26 	112301672.90 
1592	5153	21369976.52 	112299999.00 
1592	5154	21369658.08 	112298325.80 
1592	5155	21369340.28 	112296652.90 
1592	5156	21369021.66 	112294980.40 
1592	5157	21368704.01 	112293308.70 
1592	5158	21368385.45 	112291637.30 
1592	5159	21368068.02 	112289966.80 
1592	5160	21367749.63 	112288296.90 
1592	5161	21367432.09 	112286627.50 
1592	5162	21367114.87 	112284959.10 
1592	5163	21366797.59 	112283291.60 
1592	5164	21366480.51 	112281624.40 
1592	5165	21366163.16 	112279957.90 
1592	5166	21365846.13 	112278292.00 
1592	5167	21365528.56 	112276626.80 
1592	5168	21365212.28 	112274962.10 
1592	5169	21364896.09 	112273298.30 
1592	5170	21364579.31 	112271634.90 
1592	5171	21364263.08 	112269972.40 
1592	5172	21363947.16 	112268310.30 
1592	5173	21363630.88 	112266648.80 
1592	5174	21363314.45 	112264988.00 
1592	5175	21362998.50 	112263327.90 
1592	5176	21362682.72 	112261668.20 
1592	5177	21362367.23 	112260009.00 
1592	5178	21362051.11 	112258350.30 
1592	5179	21361735.86 	112256692.30 
1592	5180	21361420.46 	112255034.70 
1592	5181	21361104.86 	112253377.80 
1592	5182	21360789.98 	112251721.10 
1592	5183	21360474.44 	112250065.20 
1592	5184	21360160.01 	112248410.10 
1592	5185	21359844.99 	112246755.20 
1592	5186	21359530.14 	112245100.90 
1592	5187	21359215.20 	112243447.40 
1592	5188	21358900.51 	112241794.60 
1592	5189	21358586.42 	112240141.80 
1592	5190	21358272.11 	112238490.20 
1592	5191	21357957.54 	112236838.90 
1592	5192	21357643.34 	112235188.00 
1592	5193	21357330.02 	112233537.90 
1592	5194	21357015.79 	112231887.90 
1592	5195	21356701.84 	112230220.60 
1592	5196	21356388.03 	112228571.80 
1592	5197	21356074.83 	112226923.90 
1592	5198	21355760.84 	112225276.80 
1592	5199	21355447.63 	112223630.40 
1592	5200	21355134.76 	112221984.40 
1592	5201	21354821.34 	112220339.10 
1592	5202	21354508.80 	112218694.50 
1592	5203	21354195.59 	112217050.40 
1592	5204	21353882.95 	112215407.30 
1592	5205	21353570.44 	112213764.50 
1592	5206	21353257.95 	112212122.80 
1592	5207	21352945.64 	112210481.60 
1592	5208	21352633.06 	112208840.80 
1592	5209	21352321.27 	112207201.00 
1592	5210	21352009.45 	112205561.80 
1592	5211	21351698.07 	112203923.20 
1592	5212	21351386.23 	112202285.20 
1592	5213	21351074.22 	112200647.70 
1592	5214	21350762.71 	112199010.80 
1592	5215	21350452.17 	112197374.40 
1592	5216	21350140.34 	112195738.50 
1592	5217	21349829.13 	112194103.40 
1592	5218	21349518.04 	112192468.60 
1592	5219	21349206.91 	112190834.30 
1592	5220	21348896.16 	112189200.50 
1592	5221	21348585.14 	112187567.50 
1592	5222	21348275.14 	112185935.10 
1592	5223	21347963.95 	112184302.90 
1592	5224	21347653.70 	112182671.60 
1592	5225	21347343.36 	112181040.70 
1592	5226	21347032.70 	112179410.20 
1592	5227	21346722.61 	112177780.20 
1592	5228	21346412.21 	112176150.60 
1592	5229	21346102.77 	112174521.70 
1592	5230	21345792.52 	112172893.80 
1592	5231	21345483.13 	112171266.10 
1592	5232	21345173.64 	112169639.30 
1592	5233	21344864.21 	112168012.90 
1592	5234	21344555.18 	112166387.00 
1592	5235	21344245.50 	112164761.40 
1592	5236	21343936.34 	112163136.50 
1592	5237	21343627.28 	112161512.30 
1592	5238	21343318.13 	112159888.70 
1592	5239	21343009.15 	112158265.60 
1592	5240	21342700.53 	112156643.10 
1592	5241	21342391.77 	112155021.30 
1592	5242	21342083.12 	112153400.10 
1592	5243	21341775.21 	112151779.60 
1592	5244	21341466.52 	112150159.50 
1592	5245	21341158.95 	112148540.60 
1592	5246	21340851.14 	112146922.10 
1592	5247	21340543.34 	112145304.30 
1592	5248	21340235.08 	112143686.90 
1592	5249	21339927.24 	112142070.50 
1592	5250	21339620.17 	112140454.50 
